,t,ExM,SE,SE_minus_ExM,pT_global,R_static,m_pred_Efficiency,m_obs_Efficiency,e_Efficiency,abs_e_Efficiency,match_Efficiency,pT_Efficiency,c_Efficiency,rho_Efficiency,w_Efficiency,m_pred_Comfort,m_obs_Comfort,e_Comfort,abs_e_Comfort,match_Comfort,pT_Comfort,c_Comfort,rho_Comfort,w_Comfort,m_pred_TaskCompletion,m_obs_TaskCompletion,e_TaskCompletion,abs_e_TaskCompletion,match_TaskCompletion,pT_TaskCompletion,c_TaskCompletion,rho_TaskCompletion,w_TaskCompletion,SE_minus_R_static,Decision_SE,Decision_RL,Best_SE_policy,Best_RL_policy
0,0,0.8049999999999999,0.4997333333333333,-0.30526666666666663,0.7466666666666667,0.75,0.55,0.55,0,0,true,0.7466666666666667,0,0,0.3,0.7,0.7,0,0,true,0.7466666666666667,0,0,0.2,1,1,0,0,true,0.7466666666666667,0,0,0.5,-0.2502666666666667,0,0,Car,Car
1,1,0.8049999999999999,0.6280000000000001,-0.17699999999999982,0.8531120331950208,0.75,0.55,0.55,0,0,true,0.8531120331950207,0,0,0.3,0.7,0.7,0,0,true,0.8531120331950207,0,0,0.2,1,1,0,0,true,0.8531120331950207,0,0,0.5,-0.12199999999999989,0,0,Car,Car
2,2,0.8049999999999999,0.6739723073152798,-0.13102769268472014,0.8912633255728464,0.75,0.55,0.55,0,0,true,0.8912633255728465,0,0,0.3,0.7,0.7,0,0,true,0.8912633255728465,0,0,0.2,1,1,0,0,true,0.8912633255728465,0,0,0.5,-0.0760276926847202,0,0,Car,Car
3,3,0.8049999999999999,0.6893265770247605,-0.11567342297523941,0.9040054581118345,0.75,0.55,0.55,0,0,true,0.9040054581118345,0,0,0.3,0.7,0.7,0,0,true,0.9040054581118345,0,0,0.2,1,1,0,0,true,0.9040054581118345,0,0,0.5,-0.06067342297523948,0,0,Car,Car
4,4,0.8049999999999999,0.6943324860643127,-0.11066751393568719,0.9081597394724588,0.75,0.55,0.55,0,0,true,0.9081597394724588,0,0,0.3,0.7,0.7,0,0,true,0.9081597394724588,0,0,0.2,1,1,0,0,true,0.9081597394724588,0,0,0.5,-0.05566751393568725,0,0,Car,Car
5,5,0.8049999999999999,0.6959516559677011,-0.1090483440322988,0.9095034489358517,0.75,0.55,0.55,0,0,true,0.9095034489358517,0,0,0.3,0.7,0.7,0,0,true,0.9095034489358517,0,0,0.2,1,1,0,0,true,0.9095034489358517,0,0,0.5,-0.054048344032298856,0,0,Car,Car
6,6,0.8049999999999999,0.6964740339078945,-0.10852596609210541,0.9099369575999126,0.75,0.55,0.55,0,0,true,0.9099369575999126,0,0,0.3,0.7,0.7,0,0,true,0.9099369575999126,0,0,0.2,1,1,0,0,true,0.9099369575999126,0,0,0.5,-0.05352596609210547,0,0,Car,Car
7,7,0.8049999999999999,0.6966424239992817,-0.10835757600071827,0.9100767004143417,0.75,0.55,0.55,0,0,true,0.9100767004143419,0,0,0.3,0.7,0.7,0,0,true,0.9100767004143419,0,0,0.2,1,1,0,0,true,0.9100767004143419,0,0,0.5,-0.05335757600071833,0,0,Car,Car
8,8,0.8049999999999999,0.6966966905141092,-0.10830330948589073,0.9101217348664807,0.75,0.55,0.55,0,0,true,0.9101217348664806,0,0,0.3,0.7,0.7,0,0,true,0.9101217348664806,0,0,0.2,1,1,0,0,true,0.9101217348664806,0,0,0.5,-0.05330330948589079,0,0,Car,Car
9,9,0.8049999999999999,0.6967141772940081,-0.10828582270599185,0.9101362467170192,0.75,0.55,0.55,0,0,true,0.9101362467170192,0,0,0.3,0.7,0.7,0,0,true,0.9101362467170192,0,0,0.2,1,1,0,0,true,0.9101362467170192,0,0,0.5,-0.053285822705991914,0,0,Car,Car
