,t,ExM,SE,SE_minus_ExM,pT_global,R_static,m_pred_Efficiency,m_obs_Efficiency,e_Efficiency,abs_e_Efficiency,match_Efficiency,pT_Efficiency,c_Efficiency,rho_Efficiency,w_Efficiency,m_pred_Comfort,m_obs_Comfort,e_Comfort,abs_e_Comfort,match_Comfort,pT_Comfort,c_Comfort,rho_Comfort,w_Comfort,m_pred_TaskCompletion,m_obs_TaskCompletion,e_TaskCompletion,abs_e_TaskCompletion,match_TaskCompletion,pT_TaskCompletion,c_TaskCompletion,rho_TaskCompletion,w_TaskCompletion,SE_minus_R_static,Decision_SE,Decision_RL,Best_SE_policy,Best_RL_policy
0,0,0.8150000000000001,0.19940000000000002,-0.6156,0.49333333333333335,0.8166666666666668,0.85,0.85,0,0,true,0.7466666666666667,0,0,0.3077698495506715,0.8,0.8,0,0,true,0.7466666666666667,0,0,0.20517989970044767,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.23999999999999996,0.09999999999999998,1,0.4870502507488809,-0.6172666666666667,0,1,Bicycle,Car
1,1,0.8153884924775336,0.21260017559274075,-0.602788316884793,0.5040365112754798,0.8166666666666668,0.85,0.85,0,0,true,0.8531120331950207,0,0,0.3155666373417902,0.8,0.8,0,0,true,0.8531120331950207,0,0,0.21037775822786015,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.13639846743295017,0.09741005014977616,1,0.4740556044303497,-0.604066491073926,0,1,Bicycle,Car
2,2,0.8157783318670896,0.22978206518112604,-0.5859962666859635,0.518007311591053,0.8166666666666668,0.85,0.85,0,0,true,0.8912633255728465,0,0,0.32332728923985254,0.8,0.8,0,0,true,0.8912633255728465,0,0,0.21555152615990175,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.10389574570778459,0.09481112088606992,1,0.46112118460024565,-0.5868846014855407,0,1,Bicycle,Car
3,3,0.8161663644619925,0.2454476806158041,-0.5707186838461884,0.5307231802133725,0.8166666666666668,0.85,0.85,0,0,true,0.9040054581118345,0,0,0.3310615743185626,0.8,0.8,0,0,true,0.9040054581118345,0,0,0.2207077162123751,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09449531118144101,0.09222423692004911,1,0.44823070946906235,-0.5712189860508626,0,1,Bicycle,Car
4,4,0.8165530787159282,0.25968912050527826,-0.5568639582106499,0.5422608614838081,0.8166666666666668,0.85,0.85,0,0,true,0.9081597394724588,0,0,0.3387796584985224,0.8,0.8,0,0,true,0.9081597394724588,0,0,0.22585310566568162,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09184155720854224,0.08964614189381245,1,0.435367235835796,-0.5569775461613885,0,1,Bicycle,Car
5,5,0.8169389829249261,0.2732061835204682,-0.5437327994044578,0.5531963335601345,0.8166666666666668,0.85,0.85,0,0,true,0.9095034489358517,0,0,0.3464829662703457,0.8,0.8,0,0,true,0.9095034489358517,0,0,0.23098864418023052,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09109754686631089,0.08707344716715919,1,0.42252838954942384,-0.5434604831461985,0,1,Bicycle,Car
6,6,0.8173241483135174,0.2864078135475324,-0.530916334765985,0.5638660947443479,0.8166666666666668,0.85,0.85,0,0,true,0.9099369575999126,0,0,0.3541674921562086,0.8,0.8,0,0,true,0.9099369575999126,0,0,0.23611166143747242,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09088935887025557,0.08450567790988475,1,0.40972084640631906,-0.5302588531191343,0,1,Bicycle,Car
7,7,0.8177083746078104,0.2994696079503286,-0.5182387666574818,0.5744147141762149,0.8166666666666668,0.85,0.85,0,0,true,0.9100767004143419,0,0,0.36182677198789337,0.8,0.8,0,0,true,0.9100767004143419,0,0,0.24121784799192897,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09083113558103133,0.08194416928126379,1,0.39695538002017766,-0.5171970587163381,0,1,Bicycle,Car
8,8,0.8180913385993946,0.31245365883125004,-0.5056376797681446,0.5848934609866407,0.8166666666666668,0.85,0.85,0,0,true,0.9101217348664806,0,0,0.369453407092844,0.8,0.8,0,0,true,0.9101217348664806,0,0,0.24630227139522942,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09081485492620071,0.07939107600403551,1,0.38424432151192656,-0.5042130078354168,0,1,Bicycle,Car
9,9,0.8184726703546421,0.3253749422921605,-0.4930977280624816,0.5953149052420165,0.8166666666666668,0.85,0.85,0,0,true,0.9101362467170192,0,0,0.37703973666963286,0.8,0.8,0,0,true,0.9101362467170192,0,0,0.25135982444642196,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09081030265038463,0.0768488643023853,1,0.3716004388839452,-0.49129172437450624,0,1,Bicycle,Car
10,10,0.8188519868334818,0.3382304098306663,-0.4806215770028155,0.6056768318100322,0.8166666666666668,0.85,0.85,0,0,true,0.9101409228691356,0,0,0.3845781228678809,0.8,0.8,0,0,true,0.9101409228691356,0,0,0.256385415245254,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080902979192948,0.07432008777678903,1,0.3590364618868651,-0.47843625683600044,0,1,Bicycle,Car
